"","gameId","playId","x_0_1","x_0_2","x_1_1","x_1_2","x_1_3","x_0_3","y_0_1","y_0_2","y_1_1","y_1_2","y_1_3","y_0_3","runnerId","runner_x","runner_y","tackle_frame"
"1",2022091102,3628,0.0299999999999976,-2.87,-3.7,-4.98,-9.35,-4.33,-0.169999999999998,2.14,3.04,8.88,7.19,1.31,52433,28.46,20.63,10
"2",2022091108,171,0.260000000000005,2.13,-14.78,12.62,-14.82,-9.57000000000001,-0.0300000000000011,2.53,0.340000000000003,-9.31,9.78,-1.21,39989,79.17,18.4133333333333,7
"3",2022091111,1416,-0.27000000000001,-3.81,-3.24000000000001,-22.45,-33.32,-7.33000000000001,0.159999999999997,-3,-31.13,-23.17,-6.88,-6.57000000000001,42794,73.02,48.3533333333333,10
"4",2022091108,3153,0.159999999999997,0.760000000000005,7.41,-5.00999999999999,-13.05,0.600000000000009,-0.310000000000002,3.64,10.19,-11.76,-8.78,-6.21000000000001,54608,42.41,40.1033333333333,10
"5",2022091104,1847,0.399999999999999,-1.86000000000001,-7.49,-10.56,-8.69,6.13999999999999,-0.119999999999999,-4.14,-6.56,5.42,9.06,3.26,46130,39.84,15.34,8
"6",2022091103,2058,-0.109999999999999,4.77,4.88,-3.2,-9.6,3.78,0.419999999999998,-4.64,-2.81,-6.73,-6.74,-10.49,52457,29.99,30.71,13
"7",2022091106,1995,-0.109999999999999,-6.01,7.04,-10.08,-14.07,5.66,0.43,3.86,4.61,5.95,8.75,5.89,48097,62.79,20.79,8
"8",2022091103,1171,0.450000000000003,0.88000000000001,1.10000000000001,-7.17999999999999,9.22,-2,0.0900000000000034,5.51,8.9,6.05,-9.4,7.63,52457,107.63,15.8333333333333,8
"9",2022091111,475,-0.260000000000005,-1.8,-4.91,-8.36999999999999,-16.15,1.48999999999999,0.41,-0.41,-5.39,5.91,2.16,-1.76,44931,80.05,24.6033333333333,32
"10",2022091106,1609,-0.159999999999997,2.45,-7.8,-15.19,-15.83,-14.32,-0.469999999999999,-5.75,-12.99,1.49,-0.939999999999998,2.66,46277,66.72,27.31,8
"11",2022091104,580,0.470000000000013,-2.06999999999999,1.29000000000001,4.36000000000001,2.95,-6.20999999999999,0.18,10.27,0.209999999999994,5.95,8.07,9.3,53541,49.32,17.3533333333333,7
"12",2022091109,1944,-0.340000000000003,7.10000000000001,-1.53999999999999,-11.24,7.71000000000001,-0.980000000000004,0.430000000000003,-0.969999999999999,10.94,-1.06,10.06,11.29,44835,76.69,25.08,12
"13",2022091108,2938,0.0700000000000003,-0.0499999999999972,6.88,-0.579999999999998,-8.96,-9.28,0.550000000000001,-6.28,-4.56,-8.8,-2.04,-0.150000000000002,46309,54.18,28.8,10
